word,rock,rock.p,jazz,jazz.p,alternative.rock,alternative.rock.p,electronic,electronic.p,pop,pop.p
life,41,5.976676385,17,4.176904177,15,5.395683453,25,5.800464037,32,5.555555556
love,224,32.65306122,137,33.66093366,97,34.89208633,156,36.19489559,213,36.97916667
world,46,6.705539359,37,9.090909091,18,6.474820144,38,8.816705336,37,6.423611111
baby,53,7.725947522,33,8.108108108,13,4.676258993,20,4.64037123,31,5.381944444
night,46,6.705539359,25,6.142506143,27,9.712230216,32,7.424593968,36,6.25
heart,44,6.413994169,24,5.896805897,12,4.316546763,29,6.728538283,41,7.118055556
time,68,9.912536443,38,9.336609337,28,10.07194245,39,9.048723898,55,9.548611111
never,39,5.685131195,20,4.914004914,15,5.395683453,26,6.032482599,32,5.555555556
girl,42,6.12244898,17,4.176904177,26,9.352517986,29,6.728538283,40,6.944444444
little,48,6.997084548,32,7.862407862,16,5.755395683,26,6.032482599,40,6.944444444
woman,35,5.102040816,27,6.633906634,11,3.956834532,11,2.552204176,19,3.298611111